,Temperature,L,R,A_M,Color,Spectral_Class,Type
184,3453,0.000621,0.0773,17.08,Red,M,0
185,2889,0.000352,0.0973,16.93,Red,M,0
186,2968,0.000461,0.119,17.45,Red,M,0
187,3484,0.000551,0.0998,16.67,Red,M,0
188,2778,0.000849,0.112,19.45,Red,M,0
189,3523,0.000957,0.129,16.35,Red,M,0
190,3462,0.0053,0.148,11.47,Red,M,1
191,3257,0.0024,0.46,10.73,Red,M,1
192,2994,0.0072,0.28,13.45,Red,M,1
193,3212,0.0016,0.378,12.854,Red,M,1
194,3523,0.0054,0.319,12.43,Red,M,1
195,3598,0.0027,0.67,13.667,Red,M,1
196,3142,0.00132,0.258,14.12,Red,M,1
197,3496,0.00125,0.336,14.94,Red,M,1
198,3324,0.0065,0.471,12.78,Red,M,1
199,3463,0.0027,0.675,14.776,Red,M,1
200,16790,0.0014,0.0121,12.87,Blue,B,2
201,15680,0.00122,0.0114,11.92,Blue,B,2
202,14982,0.00118,0.0113,12.23,Blue,B,2
203,13340,0.00109,0.0116,12.9,Blue,B,2
204,18340,0.00134,0.0124,11.22,Blue,B,2
205,19920,0.00156,0.0142,11.34,Blue,B,2
206,24020,0.00159,0.0127,10.55,Blue,B,2
207,23092,0.00132,0.0104,10.18,Blue,B,2
208,17920,0.00111,0.0106,11.66,Blue,B,2
209,19360,0.00125,0.00998,11.62,Blue,B,2
210,22350,12450.0,6.36,-3.67,Blue-white,B,3
211,10012,552.0,5.856,0.013,Blue-white,A,3
212,13089,788.0,5.992,-0.12,Blue-white,A,3
213,22012,6748.0,6.64,-2.55,Blue-white,B,3
214,34190,198200.0,6.39,-4.57,Blue,O,3
215,32460,173800.0,6.237,-4.36,Blue,O,3
216,9320,29.0,1.91,1.236,Blue-white,A,3
217,19400,10920.0,6.03,-3.08,Blue-white,B,3
218,17140,883.0,5.653,-2.64,Blue-white,B,3
219,8250,9.25,1.93,-0.98,Yellow-white,F,3
220,23678,244290.0,35.0,-6.27,Blue,O,4
221,12749,332520.0,76.0,-7.02,Blue,O,4
222,9383,342940.0,98.0,-6.98,Blue,O,4
223,23440,537430.0,81.0,-5.975,Blue,O,4
224,16787,246730.0,62.0,-6.35,Blue,O,4
225,18734,224780.0,46.0,-7.45,Blue,O,4
226,9892,593900.0,80.0,-7.262,Blue,O,4
227,10930,783930.0,25.0,-6.224,Blue,O,4
228,23095,347820.0,86.0,-5.905,Blue,O,4
229,21738,748890.0,92.0,-7.346,Blue,O,4
230,24145,382993.0,1494.0,-8.84,Blue-white,B,5
231,38234,272830.0,1356.0,-9.29,Blue,O,5
232,32489,648430.0,1948.5,-10.84,Blue,O,5
233,27739,849420.0,1252.0,-7.59,Blue-white,B,5
234,21904,748490.0,1130.0,-7.67,Blue-white,B,5
235,38940,374830.0,1356.0,-9.93,Blue,O,5
236,30839,834042.0,1194.0,-10.63,Blue,O,5
237,8829,537493.0,1423.0,-10.73,White,A,5
238,9235,404940.0,1112.0,-11.23,White,A,5
239,37882,294903.0,1783.0,-7.8,Blue,O,5
